评论内容,分词结果
不管什么对于能有这样勇气又拍得如此精彩的电影导演我感到敬佩我也感到很荣幸在我有生之年看到这样的电影我看到参宿进入梦的时候那个画面那一瞬间我流泪了真的太感动了这个不火都没道理,不管 什么 对于 能 有 这样 勇气 又 拍 得 如此 精彩 的 电影 导演 我 感到 敬佩 我 也 感到 很 荣幸 在 我 有生之年 看到 这样 的 电影 我 看到 参宿 进入 梦 的 时候 那个 画面 那 一瞬间 我 流泪 了 真的 太 感动 了 这个 不火 都 没道理
我做动画的朋友和层主说的一样看了这个解说真的发现好多没注意到的细节挺好的,我 做 动画 的 朋友 和 层 主说 的 一样 看 了 这个 解说 真的 发现 好多 没 注意 到 的 细节 挺 好 的
回复 :自我救赎和和解内心戏故事不好讲是私人相的关怪陆离的,回复 : 自我 救赎 和 和解 内心 戏 故事 不好 讲 是 私人 相 的 关怪 陆离 的
确实惋惜只能说没有顺应时代春节看的人挺少的后面才开始慢慢有人看了,确实 惋惜 只能 说 没有 顺应时代 春节 看 的 人 挺 少 的 后面 才 开始 慢慢 有人 看 了
回复 :你可以再认真看看然后看下导演的解读就知道你初看有点乱的东西到最后有多浪漫多细腻的心思在里面,回复 : 你 可以 再 认真 看看 然后 看 下 导演 的 解读 就 知道 你 初 看 有点 乱 的 东西 到 最后 有 多 浪漫 多 细腻 的 心思 在 里面
回复 :皮克斯做不出来因为深海的技术是粒子水墨每一帧就是要多少亿个例子去拼凑去计算流动它只能费时间费功夫皮克斯短时间也根本做不出来,回复 : 皮克斯 做 不 出来 因为 深海 的 技术 是 粒子 水墨 每 一帧 就是 要 多少 亿个 例子 去 拼凑 去 计算 流动 它 只能 费时间 费功夫 皮克斯 短时间 也 根本 做 不 出来
搂主不好意思借下楼我是青岛深海告别场观影团的团长有想在18号去组团看深海的青岛的铁子可以看我b站动态入团,搂主 不好意思 借 下楼 我 是 青岛 深海 告别 场 观影 团 的 团长 有 想 在 18 号 去 组团 看 深海 的 青岛 的 铁子 可以 看 我 b 站 动态 入团
回复 :我希望深海不是中国动画电影的巅峰,回复 : 我 希望 深海 不是 中国 动画电影 的 巅峰
因为这个电影不适合在春节放出来啊放在十一五一都没问题放在春节大家开开心心想看个合家欢结果一半人哭着出来了一半人一脸麻的出来了这不合适,因为 这个 电影 不 适合 在 春节 放 出来 啊 放在 十一五 一 都 没 问题 放在 春节 大家 开开心心 想 看个 合家欢 结果 一半 人 哭 着 出来 了 一半 人 一脸 麻 的 出来 了 这 不 合适
肖申克的救赎票房也不好但不妨碍它成为经典深海必将成为中国电影的里程碑动画的经典,肖申克 的 救赎 票房 也 不好 但 不 妨碍 它 成为 经典 深海 必将 成为 中国 电影 的 里程碑 动画 的 经典
嗐第一tou /pf dddd深海应该票房再高点只不过被隔壁偷数据了,嗐 第一 tou / pf dddd 深海 应该 票房 再 高点 只不过 被 隔壁 偷 数据 了
同游戏行业技术人员渲染太强了只有佩服二字,同 游戏 行业 技术人员 渲染 太强了 只有 佩服 二字
滋崩已经成功异化了底层在下一次文明轮回中可能有不一样的发展目前哲学只剩语义这一个范围可拓展西方已经在固定的哲学观下进行脱离趋势的最后丧心病狂式方法论突破东方的唯物也被内部孕育的怪物肆虐肮脏的血肉将会成为最高的赞誉欢迎来到赛博时代,滋崩 已经 成功 异化 了 底层 在 下 一次 文明 轮回 中 可能 有 不 一样 的 发展 目前 哲学 只 剩 语义 这 一个 范围 可 拓展 西方 已经 在 固定 的 哲学观 下 进行 脱离 趋势 的 最后 丧心病狂 式 方法论 突破 东方 的 唯物 也 被 内部 孕育 的 怪物 肆虐 肮脏 的 血肉 将会 成为 最高 的 赞誉 欢迎 来到 赛博 时代
回复 :看电影看的难道不是剧情画质和其他等等?除去他批评别的电影那个话之外剩下的说的没有问题他这个技术炫出来以及那个画面体现出来的那种震撼难道不也是个好电影的要素之一吗我看完之后有受到感触这就证明这个电影值得一看,回复 : 看 电影 看 的 难道 不是 剧情 画质 和 其他 等等 ? 除去 他 批评 别的 电影 那个 话 之外 剩下 的 说 的 没有 问题 他 这个 技术 炫 出来 以及 那个 画面 体现 出来 的 那种 震撼 难道 不 也 是 个 好 电影 的 要素 之一 吗 我 看 完 之后 有 受到 感触 这 就 证明 这个 电影 值得一看
回复 :这是梦境啊,回复 : 这是 梦境 啊
回复 :应该压缩一下时长观感会好烧了太多钱也舍不得删,回复 : 应该 压缩 一下 时 长 观感 会 好 烧 了 太 多 钱 也 舍不得 删
果然是筹划多年处处可见的用心细节我就知道导演应该是准备了很多年了,果然 是 筹划 多年 处处 可见 的 用心 细节 我 就 知道 导演 应该 是 准备 了 很多年 了
说实话这电影前半部分真的让我觉得他在炫技并且看完了我依然这么觉得但是确实很满意我个人觉得不足的地方还是参宿在幕布里的时候其实应该已经是死了的加了一段她活了的戏感觉有些放不开,说实话 这 电影 前半部 分 真的 让 我 觉得 他 在 炫技 并且 看 完 了 我 依然 这么 觉得 但是 确实 很 满意 我 个人 觉得 不足 的 地方 还是 参宿 在 幕布 里 的 时候 其实 应该 已经 是 死 了 的 加 了 一段 她 活 了 的 戏 感觉 有些 放不开
专业评论看楼主深海绝对是目前动画电影的巅峰已经二刷我也是张艺谋的老粉了 这次的满江红确实有失水准为了反转而反转到最后大部分观众都能猜出结局说不好听的这就是卖情怀但是从排片就能看出来 不论深海多么优秀也干不过资本,专业 评论 看 楼主 深海 绝对 是 目前 动画电影 的 巅峰 已经 二刷 我 也 是 张艺谋 的 老粉 了 这次 的 满江红 确实 有失 水准 为了 反转 而 反转 到 最后 大部分 观众 都 能 猜出 结局 说 不好 听 的 这 就是 卖 情怀 但是 从 排片 就 能 看 出来 不论 深海 多么 优秀 也 干 不过 资本
春节档第一还不知道怎么出来的呢除了某些粉丝谁信那会是第一,春节 档 第一 还 不 知道 怎么 出来 的 呢 除了 某些 粉丝 谁 信 那会 是 第一
我很喜欢,我 很 喜欢
流浪地球探头疑惑怎么电影院能看到我还比不过网盘里的,流浪 地球 探头 疑惑 怎么 电影院 能 看到 我 还 比 不过 网盘 里 的
回复 :那正是参宿苦恼的心中对于美好渴求的体现梦中的场景无比绚烂整个世界都是美丽的但是现实世界却几乎全篇使用冷色调压抑落寞,回复 : 那 正是 参宿 苦恼 的 心中 对于 美好 渴求 的 体现 梦中 的 场景 无比 绚烂 整个 世界 都 是 美丽 的 但是 现实 世界 却 几乎 全篇 使用 冷色调 压抑 落寞
回复 :道理谁不会讲啊我说的设计的技术问题,回复 : 道理 谁 不会 讲 啊 我 说 的 设计 的 技术 问题
我觉得深海改变了我对国产动画剧情的绝望看过哪吒白蛇青蛇之后真的对国漫剧情有点绝望,我 觉得 深海 改变 了 我 对 国产 动画 剧情 的 绝望 看过 哪吒 白蛇 青蛇 之后 真的 对国漫 剧情 有点 绝望
回复 :你能先归纳一下你看到的故事是什么么,回复 : 你 能 先 归纳 一下 你 看到 的 故事 是 什么 么
深海之眼对应的是现实生活中他们遇到的救援船也可以是参宿内心最深处的执念而且里面打的怪不是怪是心理逻辑,深海 之眼 对应 的 是 现实生活 中 他们 遇到 的 救援船 也 可以 是 参宿 内心 最深处 的 执念 而且 里面 打 的 怪 不是 怪 是 心理 逻辑
中肯的,中肯 的
不要试图用道理去对抗观众的喜爱故作清高只会无人问津,不要 试图用 道理 去 对抗 观众 的 喜爱 故作 清高 只会 无人问津
春节档第一是流浪地球,春节 档 第一 是 流浪 地球
没错,没错
九转大肠也是颠覆式的西瓜粥也是剑走偏锋的求求了商业电影就是商业电影没人在意你在不在安全区拍的好怎么都行拍成这样还要场外疯狂找补这么喜欢探索就不要做商业电影啊认清楚定位好不好,九转 大肠 也 是 颠覆 式 的 西瓜 粥 也 是 剑 走 偏锋 的 求求 了 商业 电影 就是 商业 电影 没 人 在意 你 在 不 在 安全区 拍 的 好 怎么 都行 拍 成 这样 还要 场外 疯狂 找补 这么 喜欢 探索 就 不要 做 商业 电影 啊 认 清楚 定位 好不好
回复 :剧本可以的啊他前面的没一个伏笔后面都能对应上后面那揭晓梦境出梦的手法多震撼啊,回复 : 剧本 可以 的 啊 他 前面 的 没 一个 伏笔 后面 都 能 对应 上 后面 那 揭晓 梦境 出梦 的 手法 多 震撼 啊
回复 :我觉得剧本和叙事节奏没问题啊,回复 : 我 觉得 剧本 和 叙事 节奏 没 问题 啊
深海的成本多少来着,深海 的 成本 多少 来 着
回复 :错误的中国动画大部分只做3D一眼就是国漫,回复 : 错误 的 中国 动画 大部分 只 做 3D 一眼 就是 国漫
为我国动画感到骄傲真的多少年了从葫芦娃魔方大厦到现在想哭,为 我国 动画 感到 骄傲 真的 多少 年 了 从 葫芦娃 魔方 大厦 到 现在 想 哭
我很喜欢里面的画,我 很 喜欢 里面 的 画
回复 :要自己想,回复 : 要 自己 想
网上看了真的不好看剧情稀碎建模丑陋画面倒是很美但是没卵用,网上 看 了 真的 不 好看 剧情 稀碎 建模 丑陋 画面 倒 是 很 美 但是 没卵用
回复 :如果这部电影大家能给他足够多的支持我觉得下一部他敢直接叫板因为画面剧情都达到标准了只差一点底气了,回复 : 如果 这部 电影 大家 能 给 他 足够 多 的 支持 我 觉得 下 一部 他敢 直接 叫板 因为 画面 剧情 都 达到 标准 了 只 差一点 底气 了
回复 :捉到了,回复 : 捉到 了
深海以后可不可以像泰坦尼克号一样重映再回回血啊,深海 以后 可不可以 像 泰坦尼克号 一样 重映 再 回 回血 啊
这个电影让我想起了另外一个影片 狗13 说真的啊用这么豪华的特效这么大的投资却碰了这个题材非常理解他为什么在春节档票房惨淡了但真的很佩服他因为用这种体量这种技术的东西完全可以创造出一个无脑的爽片可是他没有而是在表达,这个 电影 让 我 想起 了 另外 一个 影片 狗 13 说真的 啊 用 这么 豪华 的 特效 这么 大 的 投资 却 碰 了 这个 题材 非常 理解 他 为什么 在 春节 档 票房 惨淡 了 但 真的 很 佩服 他 因为 用 这种 体量 这种 技术 的 东西 完全 可以 创造 出 一个 无脑 的 爽片 可是 他 没有 而是 在 表达
和平发言烧钱不代表有深意有质量好莱坞的哪部电影不烧钱当然不可否认去拍一个抑郁又悲情的冷门题材确实有勇气不论结果如何但至少要把故事讲清楚比如海底饭店各位那些吃客和那些好评差评对剧情的走向有何影响画如此巨大篇幅阐述的意义是否是为了两个小时的时长去拖延动漫全程节奏是快是慢是在欣赏不来重播的时候各位会再花钱看第二遍吗,和平 发言 烧钱 不 代表 有 深意 有 质量 好莱坞 的 哪部 电影 不 烧钱 当然 不可否认 去 拍 一个 抑郁 又 悲情 的 冷门 题材 确实 有 勇气 不论 结果 如何 但 至少 要 把 故事 讲清楚 比如 海底 饭店 各位 那些 吃客 和 那些 好评 差评 对 剧情 的 走向 有何 影响 画 如此 巨大 篇幅 阐述 的 意义 是否是 为了 两个 小时 的 时长 去 拖延 动漫 全程 节奏 是 快 是 慢 是 在 欣赏 不 来 重播 的 时候 各位 会 再 花钱 看 第二遍 吗
你有想表达个性又想要大多数人去接受哪有那么容易,你 有 想 表达 个性 又 想要 大多数 人去 接受 哪有 那么 容易
回复 :是 看得累,回复 : 是 看得 累
可能是因为一部电影不只是画面吧,可能 是因为 一部 电影 不 只是 画面 吧
回复 :皮克斯也是外包给中国公司弄的,回复 : 皮克斯 也 是 外包 给 中国 公司 弄 的
深海真的给我的第一感觉就是几乎追平宫崎骏了很受震撼原本深海没出之前国内最高水平应该属大鱼海棠现在深海绝对的可以国内第一国际市场也和你说的一样属于第一梯队唯一可惜的就是这是国内制作并且只在国内上映的,深海 真的 给 我 的 第一 感觉 就是 几乎 追平 宫崎骏 了 很 受 震撼 原本 深海 没 出 之前 国内 最高 水平 应该 属 大鱼 海棠 现在 深海 绝对 的 可以 国内 第一国际 市场 也 和 你 说 的 一样 属于 第一 梯队 唯一 可惜 的 就是 这是 国内 制作 并且 只 在 国内 上映 的
回复 :所以说还是腾讯模式适合国内,回复 : 所以 说 还是 腾讯 模式 适合 国内
就像放牛班的春天确实干不过速度与激情,就 像 放牛班 的 春天 确实 干 不过 速度 与 激情
质量不否认画面大家有目共睹但是内容上我第一眼看的时候脑海第一反应就是千与千寻哎,质量 不 否认 画面 大家 有目共睹 但是 内容 上 我 第一 眼看 的 时候 脑海 第一 反应 就是 千与千寻 哎
